"Model","Heuristic","Stat","1\%","5\%","10\%","15\%","20\%","25\%","30\%","40\%"
"","","Lat (Naive)","1.24 ± 0.003","1.34 ± 0.002","1.36 ± 0.001","1.38 ± 0.003","1.37 ± 0.004","1.39 ± 0.005","1.38 ± 0.002","1.37 ± 0.001"
"","","Lat (Zero)","1.12 ± 0.004","1.12 ± 0.000","1.18 ± 0.004","1.13 ± 0.002","1.11 ± 0.003","1.12 ± 0.002","1.11 ± 0.001","1.07 ± 0.003"
"","HRank","Acc (Ours)","67.23\%","54.81\%","29.53\%","1.11\%","0.26\%","0.19\%","0.15\%","0.09\%"
"","","Acc (Cons)","67.20\%","63.55\%","48.31\%","31.20\%","4.08\%","3.11\%","0.80\%","0.30\%"
"","","Lat (Ours)","1.14 ± 0.005","1.14 ± 0.003","1.14 ± 0.001","1.14 ± 0.002","1.14 ± 0.002","1.15 ± 0.001","1.16 ± 0.003","1.12 ± 0.002"
"","","Lat (Naive)","1.20 ± 0.004","1.26 ± 0.001","1.28 ± 0.003","1.28 ± 0.002","1.29 ± 0.006","1.29 ± 0.004","1.31 ± 0.004","1.29 ± 0.004"
"","","Lat (Zero)","1.12 ± 0.002","1.12 ± 0.003","1.11 ± 0.003","1.12 ± 0.002","1.11 ± 0.003","1.11 ± 0.004","1.12 ± 0.003","1.10 ± 0.002"
"","L1","Acc (Ours)","66.74\%","52.21\%","12.74\%","3.60\%","0.43\%","0.44\%","0.21\%","0.11\%"
"","","Acc (Cons)","64.43\%","46.59\%","1.02\%","0.75\%","0.26\%","0.12\%","0.15\%","0.11\%"
"","","Lat (Ours)","1.27 ± 0.003","1.22 ± 0.006","1.25 ± 0.002","1.21 ± 0.003","1.20 ± 0.001","1.24 ± 0.002","1.25 ± 0.002","1.17 ± 0.002"
"","","Lat (Naive)","1.25 ± 0.006","1.38 ± 0.003","1.39 ± 0.004","1.40 ± 0.006","1.38 ± 0.004","1.40 ± 0.003","1.40 ± 0.003","1.37 ± 0.004"
"","","Lat (Zero)","1.12 ± 0.004","1.12 ± 0.001","1.19 ± 0.007","1.13 ± 0.007","1.11 ± 0.007","1.12 ± 0.005","1.11 ± 0.002","1.07 ± 0.003"
"","L2","Acc (Ours)","66.86\%","53.90\%","24.34\%","2.21\%","0.43\%","0.21\%","0.19\%","0.17\%"
"","","Acc (Cons)","66.89\%","50.20\%","23.69\%","3.00\%","0.28\%","0.20\%","0.25\%","0.05\%"
"","","Lat (Ours)","1.27 ± 0.004","1.21 ± 0.003","1.21 ± 0.002","1.25 ± 0.004","1.24 ± 0.003","1.23 ± 0.002","1.20 ± 0.003","1.17 ± 0.002"
"","","Lat (Naive)","1.25 ± 0.003","1.37 ± 0.002","1.38 ± 0.003","1.39 ± 0.003","1.38 ± 0.004","1.40 ± 0.003","1.40 ± 0.005","1.37 ± 0.002"
"","","Lat (Zero)","1.12 ± 0.002","1.12 ± 0.001","1.19 ± 0.002","1.13 ± 0.005","1.11 ± 0.002","1.12 ± 0.003","1.11 ± 0.002","1.07 ± 0.002"
"","LAMP","Acc (Ours)","0.37\%","0.38\%","0.39\%","0.35\%","0.20\%","0.13\%","0.15\%","0.09\%"
"","","Acc (Cons)","3.91\%","0.47\%","0.42\%","0.38\%","0.27\%","0.17\%","0.19\%","0.09\%"
"","","Lat (Ours)","1.12 ± 0.002","1.21 ± 0.001","1.17 ± 0.004","1.20 ± 0.002","1.17 ± 0.002","1.18 ± 0.004","1.17 ± 0.004","1.14 ± 0.003"
"","","Lat (Naive)","1.15 ± 0.002","1.22 ± 0.002","1.22 ± 0.003","1.23 ± 0.003","1.25 ± 0.001","1.25 ± 0.003","1.24 ± 0.004","1.25 ± 0.002"
"","","Lat (Zero)","1.11 ± 0.003","1.11 ± 0.002","1.11 ± 0.003","1.10 ± 0.002","1.10 ± 0.004","1.09 ± 0.002","1.08 ± 0.003","1.06 ± 0.002"
"Model","Heuristic","Stat","1\%","5\%","10\%","15\%","20\%","25\%","30\%","40\%"
"","FPGM","Acc (Ours)","75.60\%","72.61\%","65.96\%","49.01\%","17.87\%","3.47\%","1.20\%","0.20\%"
"","","Acc (Cons)","75.39\%","71.41\%","61.86\%","41.75\%","13.50\%","2.89\%","1.30\%","0.32\%"
"","","Lat (Ours)","7.65 ± 0.009","7.27 ± 0.018","7.06 ± 0.016","6.35 ± 0.008","6.38 ± 0.004","5.35 ± 0.008","5.77 ± 0.007","4.92 ± 0.002"
"","","Lat (Naive)","8.08 ± 0.005","7.69 ± 0.023","7.56 ± 0.007","6.82 ± 0.006","6.89 ± 0.006","5.99 ± 0.005","6.29 ± 0.015","5.48 ± 0.007"
"","","Lat (Zero)","7.17 ± 0.011","6.76 ± 0.012","6.53 ± 0.014","5.81 ± 0.003","5.83 ± 0.008","4.87 ± 0.003","5.13 ± 0.008","4.31 ± 0.005"
"","HRank","Acc (Ours)","74.62\%","64.80\%","44.93\%","17.30\%","4.78\%","1.58\%","0.59\%","0.22\%"
"","","Acc (Cons)","74.80\%","67.51\%","44.38\%","12.78\%","5.19\%","1.85\%","0.61\%","0.22\%"
"","","Lat (Ours)","7.39 ± 0.004","7.13 ± 0.008","6.99 ± 0.005","6.94 ± 0.004","6.51 ± 0.012","6.06 ± 0.013","5.94 ± 0.006","5.21 ± 0.014"
"","","Lat (Naive)","7.96 ± 0.013","7.66 ± 0.007","7.59 ± 0.015","7.43 ± 0.004","7.01 ± 0.004","6.67 ± 0.011","6.39 ± 0.005","5.92 ± 0.008"
"","","Lat (Zero)","7.22 ± 0.025","6.80 ± 0.008","6.59 ± 0.008","6.37 ± 0.008","5.87 ± 0.012","5.48 ± 0.007","5.20 ± 0.001","4.70 ± 0.005"
"","L1","Acc (Ours)","75.44\%","72.61\%","65.45\%","49.48\%","21.84\%","3.95\%","0.94\%","0.18\%"
"","","Acc (Cons)","74.55\%","68.76\%","57.33\%","36.39\%","11.02\%","2.20\%","0.75\%","0.32\%"
"","","Lat (Ours)","7.76 ± 0.041","7.15 ± 0.015","7.15 ± 0.007","6.36 ± 0.006","6.31 ± 0.007","5.47 ± 0.007","5.72 ± 0.016","4.94 ± 0.001"
"","","Lat (Naive)","8.21 ± 0.013","7.87 ± 0.017","7.70 ± 0.022","6.90 ± 0.008","6.96 ± 0.004","6.04 ± 0.006","6.41 ± 0.012","5.53 ± 0.007"
"","","Lat (Zero)","7.24 ± 0.010","6.81 ± 0.010","6.58 ± 0.008","5.81 ± 0.008","5.86 ± 0.009","4.88 ± 0.004","5.17 ± 0.021","4.32 ± 0.005"
"","L2","Acc (Ours)","75.55\%","72.75\%","65.53\%","50.44\%","23.15\%","4.75\%","1.23\%","0.24\%"
"","","Acc (Cons)","75.18\%","71.49\%","61.43\%","42.96\%","18.67\%","3.79\%","1.46\%","0.28\%"
"","","Lat (Ours)","7.68 ± 0.007","7.23 ± 0.007","6.94 ± 0.011","6.37 ± 0.010","6.39 ± 0.006","5.48 ± 0.007","5.78 ± 0.004","4.87 ± 0.003"
"","","Lat (Naive)","8.11 ± 0.012","7.78 ± 0.012","7.62 ± 0.010","6.90 ± 0.008","6.94 ± 0.009","6.05 ± 0.003","6.37 ± 0.006","5.49 ± 0.006"
"","","Lat (Zero)","7.22 ± 0.035","6.74 ± 0.013","6.56 ± 0.010","5.82 ± 0.004","5.84 ± 0.002","4.87 ± 0.003","5.13 ± 0.014","4.32 ± 0.006"
"","LAMP","Acc (Ours)","66.15\%","62.55\%","53.84\%","43.46\%","24.45\%","6.25\%","1.01\%","0.18\%"
"","","Acc (Cons)","64.56\%","56.08\%","1.29\%","0.17\%","0.11\%","0.10\%","0.10\%","0.10\%"
"","","Lat (Ours)","6.22 ± 0.006","6.47 ± 0.009","6.49 ± 0.011","6.44 ± 0.005","6.55 ± 0.013","6.60 ± 0.004","6.50 ± 0.007","6.92 ± 0.011"
"","","Lat (Naive)","6.36 ± 0.009","6.51 ± 0.012","6.59 ± 0.007","6.52 ± 0.005","6.67 ± 0.009","6.70 ± 0.003","6.62 ± 0.006","7.18 ± 0.013"
"","","Lat (Zero)","6.14 ± 0.004","6.07 ± 0.005","6.54 ± 0.008","6.22 ± 0.040","6.01 ± 0.017","5.58 ± 0.010","5.19 ± 0.017","4.73 ± 0.014"
"","FPGM","Acc (Ours)","67.69\%","54.76\%","31.62\%","6.44\%","2.19\%","0.57\%","0.68\%","0.15\%"
"","","Acc (Cons)","67.41\%","55.00\%","34.71\%","9.75\%","4.93\%","1.74\%","0.70\%","0.14\%"
"","","Lat (Ours)","2.04 ± 0.009","2.02 ± 0.004","1.90 ± 0.007","1.83 ± 0.002","1.77 ± 0.005","1.69 ± 0.005","1.64 ± 0.001","1.48 ± 0.002"
"","","Lat (Naive)","2.13 ± 0.033","2.13 ± 0.005","2.03 ± 0.004","1.95 ± 0.004","1.89 ± 0.005","1.80 ± 0.003","1.75 ± 0.003","1.58 ± 0.003"
"","","Lat (Zero)","1.99 ± 0.002","1.94 ± 0.010","1.85 ± 0.009","1.77 ± 0.011","1.69 ± 0.007","1.58 ± 0.010","1.53 ± 0.004","1.37 ± 0.008"
"","HRank","Acc (Ours)","67.02\%","51.01\%","24.09\%","8.82\%","2.66\%","0.48\%","0.34\%","0.19\%"
"","","Acc (Cons)","67.01\%","52.59\%","29.94\%","8.51\%","1.91\%","0.77\%","0.54\%","0.27\%"
"","","Lat (Ours)","2.03 ± 0.010","1.99 ± 0.007","1.89 ± 0.008","1.83 ± 0.008","1.76 ± 0.006","1.66 ± 0.004","1.62 ± 0.006","1.45 ± 0.007"
"","","Lat (Naive)","2.14 ± 0.010","2.16 ± 0.007","2.05 ± 0.009","1.98 ± 0.008","1.91 ± 0.009","1.81 ± 0.005","1.78 ± 0.007","1.59 ± 0.004"
"","","Lat (Zero)","2.03 ± 0.010","1.97 ± 0.004","1.90 ± 0.007","1.79 ± 0.006","1.72 ± 0.009","1.60 ± 0.009","1.55 ± 0.003","1.40 ± 0.004"
"","L1","Acc (Ours)","67.50\%","55.76\%","35.09\%","15.84\%","7.33\%","1.68\%","0.48\%","0.23\%"
"","","Acc (Cons)","67.02\%","54.53\%","30.17\%","13.00\%","2.91\%","0.93\%","0.43\%","0.27\%"
"","","Lat (Ours)","2.02 ± 0.002","2.01 ± 0.005","1.90 ± 0.007","1.83 ± 0.005","1.77 ± 0.004","1.69 ± 0.003","1.64 ± 0.004","1.47 ± 0.006"
"","","Lat (Naive)","2.10 ± 0.006","2.15 ± 0.024","2.03 ± 0.003","1.96 ± 0.003","1.88 ± 0.001","1.81 ± 0.008","1.75 ± 0.004","1.58 ± 0.007"
"","","Lat (Zero)","2.00 ± 0.009","1.95 ± 0.012","1.85 ± 0.007","1.76 ± 0.005","1.70 ± 0.005","1.59 ± 0.004","1.53 ± 0.001","1.38 ± 0.006"
"","L2","Acc (Ours)","67.57\%","54.34\%","35.54\%","15.41\%","4.54\%","1.28\%","0.67\%","0.18\%"
"","","Acc (Cons)","67.18\%","55.27\%","34.29\%","15.96\%","5.22\%","1.61\%","1.01\%","0.16\%"
"","","Lat (Ours)","2.06 ± 0.008","2.03 ± 0.006","1.91 ± 0.006","1.85 ± 0.004","1.79 ± 0.009","1.71 ± 0.009","1.65 ± 0.003","1.48 ± 0.008"
"","","Lat (Naive)","2.12 ± 0.020","2.15 ± 0.003","2.05 ± 0.025","1.96 ± 0.005","1.90 ± 0.005","1.81 ± 0.009","1.77 ± 0.004","1.59 ± 0.003"
"","","Lat (Zero)","2.01 ± 0.008","1.97 ± 0.009","1.86 ± 0.004","1.79 ± 0.010","1.71 ± 0.012","1.59 ± 0.005","1.55 ± 0.004","1.39 ± 0.006"
"","LAMP","Acc (Ours)","66.75\%","56.40\%","38.07\%","21.45\%","7.74\%","2.71\%","1.27\%","0.28\%"
"","","Acc (Cons)","67.21\%","58.86\%","44.88\%","30.68\%","17.83\%","7.71\%","3.15\%","0.43\%"
"","","Lat (Ours)","2.03 ± 0.006","1.98 ± 0.004","1.61 ± 0.005","1.86 ± 0.006","1.80 ± 0.007","1.74 ± 0.006","1.68 ± 0.008","1.51 ± 0.004"
"","","Lat (Naive)","2.06 ± 0.005","2.01 ± 0.004","1.65 ± 0.002","1.90 ± 0.008","1.87 ± 0.007","1.80 ± 0.003","1.74 ± 0.006","1.57 ± 0.006"
"","","Lat (Zero)","2.02 ± 0.008","1.98 ± 0.025","1.63 ± 0.006","1.87 ± 0.009","1.81 ± 0.009","1.76 ± 0.008","1.67 ± 0.005","1.49 ± 0.006"
"","FPGM","Acc (Ours)","73.93\%","68.69\%","52.07\%","19.21\%","3.12\%","0.68\%","0.59\%","0.19\%"
"","","Acc (Cons)","73.84\%","65.91\%","45.81\%","14.15\%","2.47\%","0.46\%","0.58\%","0.21\%"
"","","Lat (Ours)","4.92 ± 0.024","4.36 ± 0.009","4.42 ± 0.015","3.60 ± 0.008","3.77 ± 0.016","3.13 ± 0.007","3.55 ± 0.004","2.88 ± 0.005"
"","","Lat (Naive)","5.06 ± 0.013","4.72 ± 0.012","4.65 ± 0.004","3.95 ± 0.007","4.15 ± 0.009","3.40 ± 0.004","3.81 ± 0.013","3.14 ± 0.004"
"","","Lat (Zero)","4.59 ± 0.014","4.20 ± 0.018","4.07 ± 0.018","3.36 ± 0.000","3.54 ± 0.020","2.77 ± 0.007","3.15 ± 0.005","2.50 ± 0.003"
"","HRank","Acc (Ours)","73.05\%","58.48\%","30.06\%","6.08\%","1.08\%","0.26\%","0.20\%","0.10\%"
"","","Acc (Cons)","72.94\%","59.27\%","29.90\%","3.11\%","0.76\%","0.19\%","0.11\%","0.10\%"
"","","Lat (Ours)","4.73 ± 0.007","4.40 ± 0.016","4.31 ± 0.006","4.23 ± 0.009","3.87 ± 0.011","3.63 ± 0.010","3.53 ± 0.009","3.09 ± 0.009"
"","","Lat (Naive)","4.95 ± 0.006","4.66 ± 0.006","4.59 ± 0.004","4.48 ± 0.003","4.15 ± 0.004","3.94 ± 0.008","3.83 ± 0.016","3.52 ± 0.011"
"","","Lat (Zero)","4.54 ± 0.011","4.20 ± 0.011","4.04 ± 0.007","3.90 ± 0.008","3.53 ± 0.010","3.30 ± 0.005","3.17 ± 0.007","2.86 ± 0.005"
"","L1","Acc (Ours)","73.88\%","68.66\%","48.79\%","14.87\%","2.31\%","0.83\%","0.47\%","0.25\%"
"","","Acc (Cons)","73.09\%","65.24\%","37.39\%","8.88\%","1.68\%","0.40\%","0.27\%","0.15\%"
"","","Lat (Ours)","4.85 ± 0.004","4.42 ± 0.015","4.37 ± 0.009","3.72 ± 0.005","3.74 ± 0.009","3.03 ± 0.004","3.50 ± 0.013","2.87 ± 0.003"
"","","Lat (Naive)","5.04 ± 0.035","4.69 ± 0.009","4.60 ± 0.012","3.96 ± 0.004","4.13 ± 0.009","3.41 ± 0.007","3.76 ± 0.007","3.13 ± 0.008"
"","","Lat (Zero)","4.57 ± 0.051","4.13 ± 0.013","4.01 ± 0.011","3.34 ± 0.006","3.49 ± 0.016","2.77 ± 0.002","3.10 ± 0.013","2.49 ± 0.002"
"","L2","Acc (Ours)","73.87\%","68.52\%","50.38\%","18.51\%","3.43\%","0.84\%","0.52\%","0.25\%"
"","","Acc (Cons)","73.90\%","65.91\%","41.92\%","13.03\%","3.48\%","0.56\%","0.51\%","0.25\%"
"","","Lat (Ours)","4.87 ± 0.012","4.48 ± 0.075","4.39 ± 0.004","3.74 ± 0.007","3.87 ± 0.011","3.13 ± 0.001","3.51 ± 0.008","2.89 ± 0.007"
"","","Lat (Naive)","5.03 ± 0.011","4.69 ± 0.006","4.61 ± 0.011","3.98 ± 0.004","4.12 ± 0.003","3.40 ± 0.006","3.77 ± 0.002","3.14 ± 0.004"
"","","Lat (Zero)","4.55 ± 0.017","4.19 ± 0.048","4.03 ± 0.013","3.35 ± 0.005","3.50 ± 0.014","2.76 ± 0.003","3.11 ± 0.009","2.49 ± 0.004"
"","LAMP","Acc (Ours)","67.83\%","56.40\%","49.41\%","35.34\%","19.94\%","12.11\%","3.70\%","0.17\%"
"","","Acc (Cons)","68.32\%","61.55\%","44.33\%","13.28\%","1.79\%","0.15\%","0.20\%","0.10\%"
"","","Lat (Ours)","3.64 ± 0.003","3.61 ± 0.003","3.62 ± 0.002","3.58 ± 0.008","3.55 ± 0.004","3.58 ± 0.005","3.55 ± 0.005","3.94 ± 0.010"
"","","Lat (Naive)","3.65 ± 0.005","3.64 ± 0.003","3.68 ± 0.006","3.65 ± 0.004","3.65 ± 0.002","3.64 ± 0.003","3.62 ± 0.005","4.08 ± 0.006"
"","","Lat (Zero)","3.48 ± 0.007","3.43 ± 0.002","3.35 ± 0.004","3.25 ± 0.006","3.79 ± 0.054","3.54 ± 0.005","3.35 ± 0.007","3.38 ± 0.012"
"Model","Heuristic","Stat","1\%","5\%","10\%","15\%","20\%","25\%","30\%","40\%"
"","FPGM","Acc (Ours)","57.60\%","42.29\%","10.70\%","4.43\%","1.30\%","0.33\%","0.21\%","0.12\%"
"","","Acc (Cons)","57.60\%","30.96\%","6.22\%","1.76\%","0.47\%","0.19\%","0.17\%","0.12\%"
"","","Lat (Ours)","0.79 ± 0.001","0.79 ± 0.002","0.78 ± 0.004","0.77 ± 0.004","0.76 ± 0.002","0.74 ± 0.002","0.74 ± 0.003","0.70 ± 0.003"
"","","Lat (Naive)","0.86 ± 0.001","0.94 ± 0.003","0.95 ± 0.003","0.94 ± 0.002","0.94 ± 0.004","0.90 ± 0.002","0.91 ± 0.003","0.87 ± 0.001"
"","","Lat (Zero)","0.79 ± 0.002","0.79 ± 0.002","0.77 ± 0.004","0.76 ± 0.001","0.76 ± 0.004","0.73 ± 0.002","0.72 ± 0.000","0.69 ± 0.003"
"","HRank","Acc (Ours)","55.99\%","18.79\%","1.33\%","0.36\%","0.21\%","0.11\%","0.10\%","0.10\%"
"","","Acc (Cons)","55.99\%","18.79\%","1.33\%","0.36\%","0.21\%","0.11\%","0.10\%","0.10\%"
"","","Lat (Ours)","0.78 ± 0.002","0.78 ± 0.002","0.76 ± 0.003","0.75 ± 0.002","0.75 ± 0.001","0.73 ± 0.004","0.72 ± 0.000","0.67 ± 0.002"
"","","Lat (Naive)","0.85 ± 0.003","0.88 ± 0.002","0.88 ± 0.002","0.87 ± 0.003","0.87 ± 0.002","0.84 ± 0.003","0.83 ± 0.002","0.78 ± 0.002"
"","","Lat (Zero)","0.78 ± 0.003","0.78 ± 0.000","0.76 ± 0.000","0.75 ± 0.001","0.76 ± 0.001","0.73 ± 0.002","0.72 ± 0.002","0.67 ± 0.001"
"","L1","Acc (Ours)","55.06\%","38.67\%","12.88\%","2.99\%","1.06\%","0.33\%","0.20\%","0.09\%"
"","","Acc (Cons)","55.06\%","28.22\%","5.39\%","1.49\%","0.67\%","0.31\%","0.22\%","0.11\%"
"","","Lat (Ours)","0.78 ± 0.001","0.78 ± 0.005","0.78 ± 0.002","0.76 ± 0.001","0.76 ± 0.003","0.74 ± 0.001","0.72 ± 0.003","0.70 ± 0.002"
"","","Lat (Naive)","0.85 ± 0.002","0.94 ± 0.003","0.94 ± 0.002","0.94 ± 0.003","0.93 ± 0.002","0.90 ± 0.003","0.89 ± 0.002","0.86 ± 0.002"
"","","Lat (Zero)","0.78 ± 0.001","0.79 ± 0.003","0.77 ± 0.003","0.76 ± 0.003","0.76 ± 0.004","0.73 ± 0.001","0.71 ± 0.001","0.68 ± 0.001"
"","L2","Acc (Ours)","57.61\%","44.45\%","11.36\%","3.02\%","1.16\%","0.30\%","0.15\%","0.12\%"
"","","Acc (Cons)","57.61\%","31.25\%","5.47\%","1.23\%","0.26\%","0.24\%","0.13\%","0.19\%"
"","","Lat (Ours)","0.79 ± 0.003","0.78 ± 0.001","0.77 ± 0.002","0.75 ± 0.004","0.76 ± 0.003","0.73 ± 0.001","0.73 ± 0.003","0.70 ± 0.002"
"","","Lat (Naive)","0.85 ± 0.002","0.93 ± 0.003","0.94 ± 0.002","0.93 ± 0.001","0.93 ± 0.002","0.90 ± 0.002","0.90 ± 0.003","0.86 ± 0.003"
"","","Lat (Zero)","0.79 ± 0.004","0.78 ± 0.001","0.77 ± 0.003","0.75 ± 0.003","0.75 ± 0.001","0.72 ± 0.003","0.72 ± 0.002","0.68 ± 0.002"
"","LAMP","Acc (Ours)","56.12\%","29.19\%","13.54\%","3.87\%","0.95\%","0.47\%","0.19\%","0.15\%"
"","","Acc (Cons)","56.39\%","41.67\%","26.35\%","12.60\%","4.76\%","1.97\%","0.95\%","0.26\%"
"","","Lat (Ours)","0.77 ± 0.001","0.77 ± 0.003","0.76 ± 0.003","0.75 ± 0.000","0.74 ± 0.004","0.74 ± 0.002","0.72 ± 0.001","0.73 ± 0.001"
"","","Lat (Naive)","0.83 ± 0.002","0.83 ± 0.003","0.83 ± 0.002","0.82 ± 0.002","0.82 ± 0.003","0.82 ± 0.002","0.79 ± 0.002","0.80 ± 0.003"
"","","Lat (Zero)","0.77 ± 0.004","0.77 ± 0.002","0.77 ± 0.003","0.77 ± 0.002","0.75 ± 0.000","0.75 ± 0.002","0.73 ± 0.001","0.74 ± 0.001"
"","FPGM","Acc (Ours)","57.80\%","41.09\%","8.25\%","1.04\%","0.58\%","0.23\%","0.19\%","0.16\%"
"","","Acc (Cons)","57.80\%","28.85\%","4.42\%","0.78\%","0.27\%","0.16\%","0.13\%","0.10\%"
"","","Lat (Ours)","0.66 ± 0.002","0.67 ± 0.002","0.66 ± 0.001","0.67 ± 0.003","0.66 ± 0.003","0.65 ± 0.003","0.65 ± 0.002","0.62 ± 0.002"
"","","Lat (Naive)","0.72 ± 0.003","0.80 ± 0.006","0.83 ± 0.002","0.83 ± 0.003","0.83 ± 0.002","0.81 ± 0.002","0.81 ± 0.001","0.78 ± 0.003"
"","","Lat (Zero)","0.66 ± 0.002","0.67 ± 0.002","0.66 ± 0.004","0.66 ± 0.003","0.67 ± 0.001","0.66 ± 0.004","0.66 ± 0.002","0.62 ± 0.001"
"","HRank","Acc (Ours)","56.09\%","20.69\%","1.06\%","0.28\%","0.14\%","0.14\%","0.13\%","0.10\%"
"","","Acc (Cons)","56.09\%","20.69\%","1.06\%","0.28\%","0.14\%","0.14\%","0.13\%","0.10\%"
"","","Lat (Ours)","0.67 ± 0.002","0.67 ± 0.004","0.67 ± 0.002","0.65 ± 0.002","0.67 ± 0.001","0.66 ± 0.004","0.67 ± 0.002","0.62 ± 0.001"
"","","Lat (Naive)","0.74 ± 0.001","0.78 ± 0.004","0.79 ± 0.002","0.76 ± 0.002","0.79 ± 0.003","0.77 ± 0.003","0.77 ± 0.003","0.73 ± 0.004"
"","","Lat (Zero)","0.67 ± 0.002","0.67 ± 0.002","0.67 ± 0.002","0.65 ± 0.001","0.67 ± 0.001","0.65 ± 0.003","0.66 ± 0.002","0.62 ± 0.003"
"","L1","Acc (Ours)","57.83\%","35.67\%","12.30\%","1.41\%","0.70\%","0.16\%","0.12\%","0.13\%"
"","","Acc (Cons)","57.83\%","21.78\%","7.73\%","0.98\%","0.39\%","0.21\%","0.16\%","0.12\%"
"","","Lat (Ours)","0.66 ± 0.001","0.67 ± 0.002","0.67 ± 0.002","0.67 ± 0.004","0.66 ± 0.002","0.64 ± 0.001","0.63 ± 0.002","0.61 ± 0.003"
"","","Lat (Naive)","0.72 ± 0.004","0.81 ± 0.001","0.84 ± 0.005","0.84 ± 0.002","0.83 ± 0.002","0.81 ± 0.002","0.82 ± 0.003","0.77 ± 0.002"
"","","Lat (Zero)","0.66 ± 0.002","0.68 ± 0.003","0.67 ± 0.002","0.66 ± 0.001","0.67 ± 0.003","0.66 ± 0.001","0.65 ± 0.003","0.62 ± 0.006"
"","L2","Acc (Ours)","57.71\%","39.84\%","9.44\%","0.88\%","0.35\%","0.19\%","0.13\%","0.12\%"
"","","Acc (Cons)","57.71\%","29.70\%","5.80\%","1.41\%","0.32\%","0.12\%","0.14\%","0.09\%"
"","","Lat (Ours)","0.67 ± 0.003","0.67 ± 0.001","0.67 ± 0.002","0.67 ± 0.002","0.66 ± 0.002","0.65 ± 0.003","0.65 ± 0.002","0.62 ± 0.003"
"","","Lat (Naive)","0.73 ± 0.003","0.81 ± 0.001","0.84 ± 0.002","0.85 ± 0.002","0.82 ± 0.001","0.82 ± 0.003","0.81 ± 0.003","0.78 ± 0.002"
"","","Lat (Zero)","0.67 ± 0.002","0.68 ± 0.001","0.67 ± 0.003","0.67 ± 0.001","0.67 ± 0.004","0.66 ± 0.001","0.65 ± 0.001","0.61 ± 0.002"
"","LAMP","Acc (Ours)","53.77\%","44.22\%","25.55\%","8.22\%","1.76\%","0.71\%","0.26\%","0.11\%"
"","","Acc (Cons)","53.57\%","45.79\%","29.27\%","11.53\%","2.76\%","1.22\%","0.45\%","0.15\%"
"","","Lat (Ours)","0.67 ± 0.001","0.66 ± 0.002","0.66 ± 0.003","0.66 ± 0.002","0.67 ± 0.001","0.65 ± 0.003","0.69 ± 0.002","0.69 ± 0.003"
"","","Lat (Naive)","0.72 ± 0.001","0.72 ± 0.002","0.72 ± 0.001","0.72 ± 0.004","0.73 ± 0.002","0.71 ± 0.001","0.75 ± 0.003","0.75 ± 0.003"
"","","Lat (Zero)","0.67 ± 0.003","0.67 ± 0.002","0.66 ± 0.003","0.66 ± 0.001","0.65 ± 0.000","0.67 ± 0.004","0.65 ± 0.001","0.70 ± 0.002"